   Update      Virtual      Symbol Name      Decimal   

              A000_A230  ADCReadings                   
                A000_A584  [213]                      425
                A000_A588  [214]                      423
                A000_A58C  [215]                      425
                A000_A590  [216]                      423
                A000_A594  [217]                      426
                A000_A598  [218]                      423
                A000_A59C  [219]                      424
                A000_A5A0  [220]                      426
                A000_A5A4  [221]                      421
                A000_A5A8  [222]                      424
                A000_A5AC  [223]                      425
                A000_A5B0  [224]                      423
                A000_A5B4  [225]                      425
                A000_A5B8  [226]                      424
                A000_A5BC  [227]                      425
                A000_A5C0  [228]                      423
                A000_A5C4  [229]                      424
                A000_A5C8  [230]                      427
                A000_A5CC  [231]                      422
                A000_A5D0  [232]                      425
                A000_A5D4  [233]                      425
                A000_A5D8  [234]                      423
                A000_A5DC  [235]                      426
                A000_A5E0  [236]                      424
                A000_A5E4  [237]                      425
                A000_A5E8  [238]                      424
                A000_A5EC  [239]                      423
                A000_A5F0  [240]                      428
                A000_A5F4  [241]                      423
                A000_A5F8  [242]                      426
                A000_A5FC  [243]                      426
                A000_A600  [244]                      423
                A000_A604  [245]                      426
                A000_A608  [246]                      425
                A000_A60C  [247]                      426
                A000_A610  [248]                      424
                A000_A614  [249]                      423
                A000_A618  [250]                      428
                A000_A61C  [251]                      423
                A000_A620  [252]                      425
                A000_A624  [253]                      427
                A000_A628  [254]                      423
                A000_A62C  [255]                      427
                A000_A630  [256]                      427
                A000_A634  [257]                      426
                A000_A638  [258]                      424
                A000_A63C  [259]                      423
                A000_A640  [260]                      428
                A000_A644  [261]                      424
                A000_A648  [262]                      427
                A000_A64C  [263]                      427
                A000_A650  [264]                      422
                A000_A654  [265]                      427
                A000_A658  [266]                      427
                A000_A65C  [267]                      427
                A000_A660  [268]                      426
                A000_A664  [269]                      424
                A000_A668  [270]                      428
                A000_A66C  [271]                      424
                A000_A670  [272]                      426
                A000_A674  [273]                      427
                A000_A678  [274]                      423
                A000_A67C  [275]                      428
                A000_A680  [276]                      427
                A000_A684  [277]                      428
                A000_A688  [278]                      425
                A000_A68C  [279]                      425
                A000_A690  [280]                      429
                A000_A694  [281]                      425
                A000_A698  [282]                      427
                A000_A69C  [283]                      428
                A000_A6A0  [284]                      423
                A000_A6A4  [285]                      428
                A000_A6A8  [286]                      428
                A000_A6AC  [287]                      427
                A000_A6B0  [288]                      425
                A000_A6B4  [289]                      425
                A000_A6B8  [290]                      429
