   Update      Virtual      Symbol Name      Decimal   

              A000_D110  ADCReadings                   
                A000_D464  [213]                      360
                A000_D468  [214]                      362
                A000_D46C  [215]                      363
                A000_D470  [216]                      359
                A000_D474  [217]                      361
                A000_D478  [218]                      360
                A000_D47C  [219]                      363
                A000_D480  [220]                      363
                A000_D484  [221]                      358
                A000_D488  [222]                      361
                A000_D48C  [223]                      361
                A000_D490  [224]                      361
                A000_D494  [225]                      363
                A000_D498  [226]                      360
                A000_D49C  [227]                      362
                A000_D4A0  [228]                      360
                A000_D4A4  [229]                      362
                A000_D4A8  [230]                      365
                A000_D4AC  [231]                      358
                A000_D4B0  [232]                      362
                A000_D4B4  [233]                      363
                A000_D4B8  [234]                      362
                A000_D4BC  [235]                      364
                A000_D4C0  [236]                      361
                A000_D4C4  [237]                      363
                A000_D4C8  [238]                      362
                A000_D4CC  [239]                      363
                A000_D4D0  [240]                      366
                A000_D4D4  [241]                      360
                A000_D4D8  [242]                      363
                A000_D4DC  [243]                      363
                A000_D4E0  [244]                      363
                A000_D4E4  [245]                      364
                A000_D4E8  [246]                      361
                A000_D4EC  [247]                      364
                A000_D4F0  [248]                      362
                A000_D4F4  [249]                      364
                A000_D4F8  [250]                      367
                A000_D4FC  [251]                      360
                A000_D500  [252]                      364
                A000_D504  [253]                      364
                A000_D508  [254]                      362
                A000_D50C  [255]                      366
                A000_D510  [256]                      364
                A000_D514  [257]                      364
                A000_D518  [258]                      363
                A000_D51C  [259]                      364
                A000_D520  [260]                      367
                A000_D524  [261]                      361
                A000_D528  [262]                      366
                A000_D52C  [263]                      366
                A000_D530  [264]                      363
                A000_D534  [265]                      365
                A000_D538  [266]                      364
                A000_D53C  [267]                      364
                A000_D540  [268]                      362
                A000_D544  [269]                      362
                A000_D548  [270]                      364
                A000_D54C  [271]                      359
                A000_D550  [272]                      362
                A000_D554  [273]                      361
                A000_D558  [274]                      358
                A000_D55C  [275]                      361
                A000_D560  [276]                      359
                A000_D564  [277]                      360
                A000_D568  [278]                      358
                A000_D56C  [279]                      358
                A000_D570  [280]                      361
                A000_D574  [281]                      356
                A000_D578  [282]                      359
                A000_D57C  [283]                      359
                A000_D580  [284]                      356
                A000_D584  [285]                      359
                A000_D588  [286]                      358
                A000_D58C  [287]                      358
                A000_D590  [288]                      357
                A000_D594  [289]                      357
                A000_D598  [290]                      361
                A000_D59C  [291]                      356
                A000_D5A0  [292]                      359
                A000_D5A4  [293]                      359
                A000_D5A8  [294]                      355
                A000_D5AC  [295]                      359
                A000_D5B0  [296]                      359
                A000_D5B4  [297]                      359
                A000_D5B8  [298]                      358
                A000_D5BC  [299]                      358
                A000_D5C0  [300]                      360
                A000_D5C4  [301]                      357
                A000_D5C8  [302]                      359
                A000_D5CC  [303]                      359
                A000_D5D0  [304]                      355
                A000_D5D4  [305]                      360
                A000_D5D8  [306]                      359
                A000_D5DC  [307]                      359
                A000_D5E0  [308]                      359
                A000_D5E4  [309]                      358
                A000_D5E8  [310]                      361
                A000_D5EC  [311]                      358
                A000_D5F0  [312]                      360
                A000_D5F4  [313]                      361
                A000_D5F8  [314]                      357
                A000_D5FC  [315]                      361
                A000_D600  [316]                      361
                A000_D604  [317]                      361
                A000_D608  [318]                      359
                A000_D60C  [319]                      359
                A000_D610  [320]                      363
                A000_D614  [321]                      359
                A000_D618  [322]                      360
                A000_D61C  [323]                      361
                A000_D620  [324]                      357
                A000_D624  [325]                      362
                A000_D628  [326]                      362
                A000_D62C  [327]                      361
                A000_D630  [328]                      360
                A000_D634  [329]                      359
                A000_D638  [330]                      363
                A000_D63C  [331]                      360
                A000_D640  [332]                      361
                A000_D644  [333]                      360
                A000_D648  [334]                      356
                A000_D64C  [335]                      361
                A000_D650  [336]                      362
                A000_D654  [337]                      359
                A000_D658  [338]                      360
                A000_D65C  [339]                      358
                A000_D660  [340]                      361
                A000_D664  [341]                      359
                A000_D668  [342]                      360
                A000_D66C  [343]                      360
                A000_D670  [344]                      356
                A000_D674  [345]                      360
                A000_D678  [346]                      361
                A000_D67C  [347]                      360
                A000_D680  [348]                      360
                A000_D684  [349]                      360
                A000_D688  [350]                      362
                A000_D68C  [351]                      360
                A000_D690  [352]                      360
                A000_D694  [353]                      360
                A000_D698  [354]                      355
                A000_D69C  [355]                      362
                A000_D6A0  [356]                      362
                A000_D6A4  [357]                      359
                A000_D6A8  [358]                      360
                A000_D6AC  [359]                      359
                A000_D6B0  [360]                      363
                A000_D6B4  [361]                      361
                A000_D6B8  [362]                      361
                A000_D6BC  [363]                      363
                A000_D6C0  [364]                      357
                A000_D6C4  [365]                      362
                A000_D6C8  [366]                      363
                A000_D6CC  [367]                      360
                A000_D6D0  [368]                      361
                A000_D6D4  [369]                      360
                A000_D6D8  [370]                      363
                A000_D6DC  [371]                      363
                A000_D6E0  [372]                      361
                A000_D6E4  [373]                      361
                A000_D6E8  [374]                      357
                A000_D6EC  [375]                      362
                A000_D6F0  [376]                      364
                A000_D6F4  [377]                      359
                A000_D6F8  [378]                      361
                A000_D6FC  [379]                      360
                A000_D700  [380]                      363
                A000_D704  [381]                      362
                A000_D708  [382]                      361
                A000_D70C  [383]                      362
                A000_D710  [384]                      358
                A000_D714  [385]                      363
                A000_D718  [386]                      364
                A000_D71C  [387]                      360
                A000_D720  [388]                      361
                A000_D724  [389]                      361
